Date,Open,High,Low,Close,Volume,Adj Close
2008-10-28,9056.97,9056.97,8909.34,9008.08,0,9008.08
2008-10-29,9297.76,9297.76,8894.34,9044.51,55000,9044.51
2008-10-31,9361.66,9870.42,9361.66,9788.06,57200,9788.06
2008-11-03,10209.37,10373.17,10112.66,10337.68,44800,10337.68
2008-11-04,10304.57,10668.48,10116.22,10631.12,51000,10631.12
2008-11-05,10931.17,10945.41,10051.52,10120.01,53400,10120.01
2008-11-06,9755.03,10109.45,9635.22,9734.22,49400,9734.22
2008-11-07,9631.59,10065.37,9631.59,9964.29,42000,9964.29
2008-11-10,10154.56,10570.58,10095.9,10536.16,45400,10536.16
2008-11-11,10386.45,10397.36,9800.67,9839.69,63600,9839.69
2008-11-12,9683.75,9928.6,9376.73,9536.33,52400,9536.33
2008-11-14,9784.85,9826.25,9267.49,9385.42,46200,9385.42
2008-11-17,9396.93,9424.25,8956.68,9291.01,41800,9291.01
2008-11-18,9084.12,9169.05,8871.71,8937.2,41000,8937.2
2008-11-19,8970.67,9236.27,8726.8,8773.78,42600,8773.78
2008-11-20,8400.88,8540.46,8316.39,8451.01,40000,8451.01
2008-11-21,8481.02,8988.03,8442.31,8915.21,59200,8915.21
2008-11-24,8840.53,9042.02,8701.93,8903.12,43800,8903.12
2008-11-25,9170.28,9182.8,8649.4,8695.53,41600,8695.53
2008-11-26,8806.02,9061.72,8658.53,9026.72,44600,9026.72
2008-11-28,8889.18,9157.62,8889.18,9092.72,34000,9092.72
2008-12-01,9162.94,9326.68,8803.34,8839.87,45200,8839.87
2008-12-02,8535.83,8785.04,8467.43,8739.24,41000,8739.24
2008-12-03,8851.22,8854.81,8601.41,8747.43,52400,8747.43
2008-12-04,8779.02,9245.06,8726.71,9229.75,55200,9229.75
2008-12-05,9172.58,9340.69,8914.38,8965.2,53000,8965.2
2008-12-08,9276.89,9432.11,9095.7,9162.62,50200,9162.62
2008-12-10,9349.53,9678.7,9280.16,9654.9,65000,9654.9
2008-12-11,9679.32,9746.01,9441.97,9645.46,68800,9645.46
2008-12-12,9370.87,9745.51,9281.89,9690.07,6400,9690.07
2008-12-15,9821.85,9948.33,9749.29,9832.39,47000,9832.39
2008-12-16,9794.48,10009.21,9790.31,9976.98,41000,9976.98
2008-12-17,10073.1,10073.1,9682.91,9715.29,75800,9715.29
2008-12-18,9710.2,10110.34,9633.04,10076.43,69200,10076.43
2008-12-19,10001.33,10188.54,9987.42,10099.91,59600,10099.91
2008-12-22,10102.42,10173.34,9895.55,9928.35,39000,9928.35
2008-12-23,9813.2,9838.38,9643.56,9686.75,52600,9686.75
2008-12-24,9626.07,9653.42,9502.53,9568.72,68800,9568.72
2008-12-26,9655.07,9706.38,9294.98,9328.92,43000,9328.92
2008-12-29,9318.86,9550.4,9162.66,9533.52,65800,9533.52
2008-12-30,9625.13,9785.04,9494.7,9716.16,56600,9716.16
2008-12-31,9806.64,9825.9,9587.92,9647.31,63800,9647.31
2009-01-02,9973.06,10070.28,9863.86,9958.22,51600,9958.22
2009-01-05,10124.92,10306.17,10069.11,10275.6,51200,10275.6
2009-01-06,10241.51,10392.12,10150.68,10335.93,55600,10335.93
2009-01-07,10424.96,10469.72,9510.15,9586.88,217600,9586.88
2009-01-09,9434.85,9630.4,9250.82,9406.47,158200,9406.47
2009-01-12,9306.74,9327.3,9024.45,9110.05,98000,9110.05
2009-01-13,9042.36,9261,8992.92,9071.36,45200,9071.36
2009-01-14,9223.16,9412.97,9071.36,9370.49,32000,9370.49
2009-01-15,9000.62,9123.78,8946.62,9046.74,37600,9046.74
2009-01-16,9125.65,9342.47,9125.65,9323.59,35400,9323.59
2009-01-19,9365.04,9409.51,9273.47,9329.57,30000,9329.57
2009-01-20,9159.76,9159.76,9033.55,9100.55,31200,9100.55
2009-01-21,8900.78,9051.31,8734.93,8779.17,32400,8779.17
2009-01-22,8905.97,8927.69,8699.32,8813.84,39200,8813.84
2009-01-23,8804.15,8858.84,8631.6,8674.35,44000,8674.35
2009-01-27,8803.07,9021.97,8791.58,9004.08,34200,9004.08
2009-01-28,9077.65,9270.75,9053.8,9257.47,39800,9257.47
2009-01-29,9340.59,9379.68,9164.96,9236.28,38800,9236.28
2009-01-30,9111.12,9438.31,9088.15,9424.24,48000,9424.24
2009-02-02,9363.58,9363.58,9048.97,9066.7,39800,9066.7
2009-02-03,9128.99,9302.25,9040.56,9149.3,46000,9149.3
2009-02-04,9226.2,9338.21,9164.16,9201.85,41600,9201.85
2009-02-05,9241.56,9247.09,9017.08,9090.88,29600,9090.88
2009-02-06,9161.49,9321.38,9160.83,9300.86,28400,9300.86
2009-02-09,9359,9601.56,9329.3,9583.89,20000,9583.89
2009-02-10,9589.95,9724.87,9510.63,9647.47,45000,9647.47
2009-02-11,9462.14,9648.39,9459.59,9618.54,37600,9618.54
2009-02-12,9559.03,9578.99,9445.54,9465.83,33800,9465.83
2009-02-13,9540.6,9695.59,9540.6,9634.74,30000,9634.74
2009-02-16,9637.04,9637.04,9279.1,9305.45,37200,9305.45
2009-02-17,9213.4,9213.4,8994.34,9035,28400,9035
2009-02-18,8939.38,9112.99,8929.62,9015.18,36800,9015.18
2009-02-19,9034.9,9111.27,8977.8,9042.63,27400,9042.63
2009-02-20,8943.78,8943.78,8762.58,8843.21,28000,8843.21
2009-02-24,8707.35,8856.52,8619.22,8822.06,32400,8822.06
2009-02-25,8913.44,8995.04,8880.15,8902.56,32200,8902.56
2009-02-26,8905.56,8998.31,8788.94,8954.86,37200,8954.86
2009-02-27,8944.11,8944.11,8728.66,8891.61,42200,8891.61
2009-03-02,8762.88,8762.88,8563.52,8607.08,30200,8607.08
2009-03-03,8583.06,8635.2,8393.05,8427.29,35200,8427.29
2009-03-04,8473.25,8501.46,8373.24,8446.49,40600,8446.49
2009-03-05,8535.03,8535.03,8167.75,8197.92,51400,8197.92
2009-03-06,8103.75,8347.1,8047.17,8325.82,52200,8325.82
2009-03-09,8259.22,8259.22,8110.1,8160.4,26400,8160.4
2009-03-12,8274.78,8439.26,8274.78,8343.75,36200,8343.75
2009-03-13,8480.74,8793.21,8480.74,8756.61,49400,8756.61
2009-03-16,8793.89,8955.73,8697.46,8943.54,49400,8943.54
2009-03-17,8942.01,9024.12,8801.79,8863.82,47200,8863.82
2009-03-18,8956.3,9120.4,8951.32,8976.68,45600,8976.68
2009-03-19,9023.04,9086.77,8900.39,9001.75,36000,9001.75
2009-03-20,8951.34,8999.98,8867.13,8966.68,32800,8966.68
2009-03-23,9040.3,9454.69,9040.3,9424.02,43200,9424.02
2009-03-24,9549.52,9699,9402.64,9471.04,50000,9471.04
2009-03-25,9442.3,9704.69,9430.45,9667.9,49400,9667.9
2009-03-26,9739.93,10061.36,9739.93,10003.1,45200,10003.1
2009-03-27,10036.8,10127.09,9913.4,10048.49,52800,10048.49
2009-03-30,9902.35,9902.35,9521.76,9568.14,41400,9568.14
2009-03-31,9633.21,9826.22,9547.21,9708.5,53000,9708.5
2009-04-01,9745.77,9921.96,9546.29,9901.99,45800,9901.99
2009-04-02,10107.25,10431.98,10107.25,10348.83,64600,10348.83
2009-04-06,10521.78,10654.89,10410.44,10534.87,53800,10534.87
2009-04-08,10283.58,10778.11,10173,10742.34,56400,10742.34
2009-04-09,10876.15,10929.33,10655.96,10803.86,58400,10803.86
2009-04-13,10916.43,11069.54,10800.84,10967.22,43000,10967.22
2009-04-15,10805.14,11337.75,10719.18,11284.73,70200,11284.73
2009-04-16,11358.06,11362.31,10900.47,10947.4,60200,10947.4
2009-04-17,11067.71,11339.47,10946.25,11023.09,53600,11023.09
2009-04-20,11065.1,11209.66,10863.28,10979.5,43200,10979.5
2009-04-21,10765.39,11068.82,10764.08,10898.11,45000,10898.11
2009-04-22,10968.6,11036.24,10715.66,10817.54,39000,10817.54
2009-04-23,10841.57,11200.86,10758.97,11134.99,41800,11134.99
2009-04-24,11149.47,11362.88,11070.33,11329.05,44600,11329.05
2009-04-27,11237.42,11492.1,11176.55,11371.85,52400,11371.85
2009-04-28,11371.34,11371.34,10961.76,11001.75,47600,11001.75
2009-04-29,11091.56,11430.25,11091.56,11403.25,40400,11403.25
2009-05-04,11635.24,12160.32,11635.24,12134.75,46400,12134.75
2009-05-05,12159.74,12197.88,11985.88,12131.08,48400,12131.08
2009-05-06,12100.69,12272.04,11899.41,11952.75,49200,11952.75
2009-05-07,12064.51,12143.95,11981.13,12116.94,47800,12116.94
2009-05-08,12092.97,12180.07,11765.06,11876.43,55200,11876.43
2009-05-11,11997.37,12026.6,11621.3,11682.99,36000,11682.99
2009-05-12,11629.97,12194.63,11625.39,12158.03,40000,12158.03
2009-05-13,12201.93,12256.43,11934.44,12019.65,217600,12019.65
2009-05-14,11774.04,11935.86,11695.52,11872.91,39000,11872.91
2009-05-15,11948.7,12218.98,11948.7,12173.42,35000,12173.42
2009-05-18,13479.39,14284.21,13479.39,14284.21,800,14284.21
2009-05-19,14757.82,14930.54,13840.83,14302.03,89400,14302.03
2009-05-20,14230.73,14405.51,13976.49,14060.66,51000,14060.66
2009-05-21,14043.38,14089.51,13704.43,13736.54,44800,13736.54
2009-05-22,13663.54,13936.93,13611.3,13887.15,39400,13887.15
2009-05-25,13999.44,14027.6,13819.78,13913.22,37400,13913.22
2009-05-26,13983.26,13991.46,13524.93,13589.23,37800,13589.23
2009-05-27,13851.85,14122.78,13848.15,14109.64,47000,14109.64
2009-05-28,14139.14,14376.34,14080.98,14296.01,42600,14296.01
2009-05-29,14384.76,14726.6,14384.76,14625.25,45200,14625.25
2009-06-01,14790.89,14906.81,14658.01,14840.63,44200,14840.63
2009-06-02,14942.21,14994.22,14608.23,14874.91,43800,14874.91
2009-06-03,14902.62,15045.88,14734.9,14870.9,43000,14870.9
2009-06-04,14755.08,15026.03,14601.91,15008.68,39200,15008.68
2009-06-05,15040.24,15257.3,14994.05,15103.55,36800,15103.55
2009-06-08,15153.21,15184.87,14604.23,14665.92,31400,14665.92
2009-06-09,14618.98,15159.27,14526.69,15127,51600,15127
2009-06-10,15168.18,15580.81,15168.18,15466.81,42400,15466.81
2009-06-11,15517.36,15568.74,15242.19,15411.47,42000,15411.47
2009-06-12,15446.82,15600.3,15174.28,15237.94,40600,15237.94
2009-06-15,15195.83,15261.03,14808.09,14875.52,34600,14875.52
2009-06-16,14788.27,15022.19,14621.97,14957.91,32000,14957.91
2009-06-17,14978.5,14995.66,14447.93,14522.84,35400,14522.84
2009-06-18,14503.05,14630.73,14188.25,14265.53,75800,14265.53
2009-06-19,14321.98,14559.08,14179.77,14521.89,37400,14521.89
2009-06-22,14591.28,14668.4,14269.77,14326.22,31600,14326.22
2009-06-23,14147.87,14394.19,14016.95,14324.01,35600,14324.01
2009-06-24,14388.21,14479.82,14207.02,14422.73,30600,14422.73
2009-06-25,14476.15,14578.46,14261.14,14345.62,29600,14345.62
2009-06-26,14373.57,14781.94,14373.57,14764.64,32400,14764.64
2009-06-29,14764.64,14955.55,14685.45,14785.74,26600,14785.74
2009-06-30,14785.74,14907.48,14420.41,14493.84,35200,14493.84
2009-07-01,14493.84,14727.49,14355.52,14645.47,28800,14645.47
2009-07-02,14694.31,14764.35,14469.69,14658.49,31200,14658.49
2009-07-03,14552.72,14945.85,14499.74,14913.05,29000,14913.05
2009-07-06,14962.12,15097.87,13959.44,14043.4,43400,14043.4
2009-07-07,14103.65,14251.88,14000.68,14170.45,35800,14170.45
2009-07-08,14039.58,14039.58,13701.76,13769.15,37600,13769.15
2009-07-09,13796.19,13879.18,13643.97,13757.46,28400,13757.46
2009-07-10,13803.12,13897.19,13418.39,13504.22,27800,13504.22
2009-07-13,13405.95,13461.68,13219.99,13400.32,24600,13400.32
2009-07-14,13549.42,13903.48,13549.42,13853.7,23800,13853.7
2009-07-15,13917.27,14299.54,13891.04,14253.24,27200,14253.24
2009-07-16,14351.97,14493.1,14169.58,14250.25,35000,14250.25
2009-07-17,14325.58,14800.7,14250.25,14744.92,37600,14744.92
2009-07-20,14854.17,15209.36,14854.17,15191.01,34800,15191.01
2009-07-21,15218.83,15234.21,14955.88,15062.49,35000,15062.49
2009-07-22,15124.92,15369.42,14786.58,14843.12,41800,14843.12
2009-07-23,15008.78,15264.84,14843.12,15231.04,55200,15231.04
2009-07-24,15272.01,15418.61,15168.52,15378.96,43200,15378.96
2009-07-27,15350.89,15463.09,15228.46,15375.04,36600,15375.04
2009-07-28,15428.5,15463.46,15240.53,15331.94,40800,15331.94
2009-07-29,15293.19,15379.43,14888.41,15173.46,39000,15173.46
2009-07-30,15169.23,15409.91,15065.48,15387.96,30400,15387.96
2009-07-31,15449.47,15732.81,15449.47,15670.31,34000,15670.31
2009-08-03,15694.78,15963.36,15608.4,15924.23,32400,15924.23
2009-08-04,15940.1,16002.46,15699.13,15830.98,43400,15830.98
2009-08-05,15882.39,15973.1,15695.11,15903.83,29600,15903.83
2009-08-06,15881.47,15969.81,15443.22,15514.03,37800,15514.03
2009-08-07,15440.95,15501.94,15104,15160.24,33200,15160.24
2009-08-10,15287.14,15417.34,14902.02,15009.77,37200,15009.77
2009-08-11,15000.38,15218.65,14864.23,15074.59,31000,15074.59
2009-08-12,14953.44,15043.62,14701.05,15020.16,34000,15020.16
2009-08-13,15207.96,15545.13,15207.96,15518.49,28800,15518.49
2009-08-14,15530.38,15535.47,15367.61,15411.63,28600,15411.63
2009-08-17,15284.23,15411.63,14740.63,14784.92,25600,14784.92
2009-08-18,14745.8,15134.51,14740.26,15035.26,29200,15035.26
2009-08-19,15079.04,15096.94,14684.45,14809.64,26600,14809.64
2009-08-20,14930.05,15145,14928.18,15012.32,16800,15012.32
2009-08-21,14951.49,15275.17,14835.08,15240.83,21400,15240.83
2009-08-24,15362.93,15676.35,15362.93,15628.75,19800,15628.75
2009-08-25,15573.91,15735.32,15423.39,15688.47,29200,15688.47
2009-08-26,15763.09,15831.49,15695.94,15769.85,20000,15769.85
2009-08-27,15711.8,15853.71,15685.49,15781.07,18600,15781.07
2009-08-28,15770.19,15957.67,15663.35,15922.34,30400,15922.34
2009-08-31,15812.15,15821.35,15589.8,15666.64,25600,15666.64
2009-09-01,15691.27,15923.09,15475.28,15551.19,26800,15551.19
2009-09-02,15482.05,15628.1,15392.68,15467.46,23600,15467.46
2009-09-03,15539.34,15598.18,15356.72,15398.33,22000,15398.33
2009-09-04,15425.86,15740.83,15358.94,15689.12,30800,15689.12
2009-09-07,15793.27,16035.5,15793.27,16016.32,25000,16016.32
2009-09-08,16030.56,16232.16,16030.56,16123.67,35000,16123.67
2009-09-09,16111.09,16215.74,16044.77,16183.55,30600,16183.55
2009-09-10,16295.92,16434.77,16166.42,16216.86,30000,16216.86
2009-09-11,16254.57,16337.98,16130.32,16264.3,28200,16264.3
2009-09-14,16185.26,16252.18,16119.95,16214.19,23600,16214.19
2009-09-15,16255.42,16477.23,16255.42,16454.45,19600,16454.45
2009-09-16,16498.59,16700.56,16498.59,16677.04,30200,16677.04
2009-09-17,16686.38,16820.02,16636.55,16711.11,44200,16711.11
2009-09-18,16650.05,16765.03,16610.05,16741.3,28000,16741.3
2009-09-22,16805.22,16943.49,16763.78,16886.43,22800,16886.43
2009-09-23,16905.5,16905.58,16683.78,16719.5,48400,16719.5
2009-09-24,16634.08,16834.1,16494.92,16781.43,24600,16781.43
2009-09-25,16679.99,16812.02,16613.22,16693,20400,16693
2009-09-29,16829.11,16907.84,16802.8,16852.91,16000,16852.91
2009-09-30,16868.46,17142.52,16868.46,17126.84,20600,17126.84
2009-10-01,17186.2,17195.61,17059.36,17134.55,28000,17134.55
2009-10-05,17062.01,17062.01,16835.8,16866.41,24800,16866.41
2009-10-06,16879.38,16988.56,16622.05,16958.54,50200,16958.54
2009-10-07,17069.42,17120.56,16764.07,16806.66,32800,16806.66
2009-10-08,16908.02,16998.52,16775.36,16843.54,37000,16843.54
2009-10-09,16915.96,16963.08,16606.95,16642.66,27000,16642.66
2009-10-12,16687.32,17068.78,16687.32,17026.67,24200,17026.67
2009-10-14,17117.9,17274.59,17117.9,17231.11,31800,17231.11
2009-10-15,17274.07,17350.39,17092.83,17195.2,30200,17195.2
2009-10-16,17196.8,17347.85,17126.55,17322.82,28200,17322.82
2009-10-20,17414.8,17457.26,17185.04,17223.01,24600,17223.01
2009-10-21,17229.72,17248.69,16997.86,17009.17,25600,17009.17
2009-10-22,17031.54,17031.54,16721.26,16789.74,25600,16789.74
2009-10-23,16795.66,17006.77,16765.2,16810.81,24400,16810.81
2009-10-26,16808.05,16938.88,16706.08,16740.5,22000,16740.5
2009-10-27,16699.09,16699.09,16311.5,16353.4,30800,16353.4
2009-10-28,16335.78,16411.14,16144.17,16283.49,29600,16283.49
2009-10-29,16191.39,16264.09,15993.83,16052.72,26200,16052.72
2009-10-30,16135.87,16360.88,15805.2,15896.28,38600,15896.28
2009-11-03,15838.63,15957.06,15330.56,15404.94,32400,15404.94
2009-11-04,15487.97,15929.09,15487.97,15912.13,30400,15912.13
2009-11-05,15926.13,16092.38,15564.89,16063.9,33800,16063.9
2009-11-06,16137.42,16283.86,16075.19,16158.28,28200,16158.28
2009-11-09,16190.79,16517.42,16147.21,16498.72,20400,16498.72
2009-11-10,16552.43,16677.53,16371.66,16440.56,26600,16440.56
2009-11-11,16444.44,16887.8,16405.19,16849.6,26600,16849.6
2009-11-12,16822.18,16896.62,16605.01,16696.03,27200,16696.03
2009-11-13,16693.15,16909.74,16666.7,16848.83,21400,16848.83
2009-11-16,16893.11,17083.2,16893.11,17032.51,19000,17032.51
2009-11-17,17036.23,17080.17,16882.98,17050.65,20400,17050.65
2009-11-18,17032.01,17098.79,16958.41,16998.78,18200,16998.78
2009-11-19,17004.98,17004.98,16712.33,16785.65,18200,16785.65
2009-11-20,16772.75,17041.79,16635.75,17021.85,22400,17021.85
2009-11-23,17067.14,17214.58,17045.02,17180.18,22000,17180.18
2009-11-24,17230.86,17230.86,17027.52,17131.08,18200,17131.08
2009-11-25,17149.08,17290.48,17124.15,17198.95,17000,17198.95
2009-11-26,17199.05,17202.51,16808.87,16854.93,24000,16854.93
2009-11-27,16718.8,16718.8,16210.44,16632.01,28400,16632.01
2009-11-30,16655.75,17026.91,16655.75,16926.22,23200,16926.22
2009-12-01,16947.46,17218.46,16947.46,17198.27,20000,17198.27
2009-12-02,17226.49,17329.68,17142.36,17169.91,22200,17169.91
2009-12-03,17199.64,17361.27,17128.21,17185.68,18200,17185.68
2009-12-04,17182.23,17291.83,17032.81,17101.54,18200,17101.54
2009-12-07,17106.74,17176.62,16943.01,16983.14,21000,16983.14
2009-12-08,16984.54,17237.79,16964.11,17227.68,18600,17227.68
2009-12-09,17204.32,17227.96,17057.37,17125.22,21800,17125.22
2009-12-10,17107,17231.05,17032.3,17189.31,19200,17189.31
2009-12-11,17199.74,17351.71,17056.12,17119.03,19200,17119.03
2009-12-14,17118.14,17275.19,17048.17,17097.55,17200,17097.55
2009-12-15,17150.59,17200.47,16835.78,16877.16,18600,16877.16
2009-12-16,16866.95,16996.12,16777.94,16912.77,19400,16912.77
2009-12-17,16912.25,16979.52,16826,16894.25,22000,16894.25
2009-12-18,16855.91,16899.19,16693.06,16719.83,18600,16719.83
2009-12-21,16724.84,16750.99,16577.78,16601.2,17200,16601.2
2009-12-22,16633.81,16738.12,16633.81,16692,14400,16692
2009-12-23,16723.96,17252.09,16723.96,17231.11,26600,17231.11
2009-12-24,17265.47,17413.69,17198.09,17360.61,22400,17360.61
2009-12-29,17388.67,17486.05,17372.63,17401.56,14400,17401.56
2009-12-30,17402.24,17440.05,17322.8,17343.82,13800,17343.82
2009-12-31,17365.37,17530.94,17365.37,17464.81,16600,17464.81
2010-01-04,17473.45,17582.84,17378.38,17558.73,28200,17558.73
2010-01-05,17555.77,17729.78,17555.77,17686.24,27000,17686.24
2010-01-06,17719.47,17790.33,17636.71,17701.13,21400,17701.13
2010-01-07,17701.97,17733.34,17566.54,17615.72,18000,17615.72
2010-01-08,17603.87,17658.12,17508.96,17540.29,17200,17540.29
2010-01-11,17724.59,17776.57,17500.79,17526.71,18400,17526.71
2010-01-12,17534.1,17612,17392.55,17422.51,18600,17422.51
2010-01-13,17368.03,17528.31,17276.46,17509.8,26200,17509.8
2010-01-14,17525.71,17628.04,17525.71,17584.87,23400,17584.87
2010-01-15,17604.31,17639.85,17529.11,17554.3,17600,17554.3
2010-01-18,17538.72,17712.6,17505.5,17641.08,15400,17641.08
2010-01-19,17650.82,17664.86,17463.78,17486.06,13400,17486.06
2010-01-20,17486.69,17590.59,17425.05,17474.49,17000,17474.49
2010-01-21,17474.49,17474.49,17025.26,17051.14,17200,17051.14
2010-01-22,16978.36,17000.33,16608.09,16859.68,23200,16859.68
2010-01-25,16847.7,16877.77,16705.56,16780.46,16400,16780.46
2010-01-27,16708.6,16708.6,16230.85,16289.82,25600,16289.82
2010-01-28,16317.16,16524.69,16182.14,16306.87,21600,16306.87
2010-01-29,16253.82,16390.31,15982.08,16357.96,25400,16357.96
2010-02-01,16339.32,16422.4,16160.8,16356.03,20000,16356.03
2010-02-02,16368.44,16525.98,16129.11,16163.44,20600,16163.44
2010-02-03,16210.25,16552.99,16210.25,16496.05,16400,16496.05
2010-02-04,16500.29,16508.22,16188.8,16224.95,15800,16224.95
2010-02-05,16222.56,16222.56,15725.43,15790.93,23000,15790.93
2010-02-08,15931.34,16061.41,15651.99,15935.61,26600,15935.61
2010-02-09,15940.73,16094.13,15862.9,16042.18,21200,16042.18
2010-02-10,16042.18,16141.13,15892.01,15922.17,19800,15922.17
2010-02-11,15928.28,16202.87,15928.28,16152.59,14400,16152.59
2010-02-15,16186.9,16227.04,16011.82,16038.35,17000,16038.35
2010-02-16,16042.18,16310.39,16021.29,16226.68,20600,16226.68
2010-02-17,16228.91,16480.89,16228.91,16428.91,19600,16428.91
2010-02-18,16421.2,16452.51,16287.17,16327.84,14000,16327.84
2010-02-19,16256.53,16301.94,16074.58,16191.63,19400,16191.63
2010-02-22,16191.32,16423.23,16191.32,16237.05,14000,16237.05
2010-02-23,16213.14,16324.93,16178.91,16286.32,13400,16286.32
2010-02-24,16218.68,16328.44,16187.44,16255.97,12400,16255.97
2010-02-25,16264.1,16329.33,16167.13,16254.2,12200,16254.2
2010-02-26,16255.33,16669.25,16249.67,16429.55,31000,16429.55
2010-03-02,16438.45,16808.49,16438.45,16772.56,22400,16772.56
2010-03-03,16778.29,17012.61,16778.29,17000.01,20000,17000.01
2010-03-04,17013.68,17024.96,16888.05,16971.7,19000,16971.7
2010-03-05,16988.29,17097.71,16936.12,16994.49,19600,16994.49
2010-03-08,17034.92,17187.55,17034.92,17102.6,15200,17102.6
2010-03-09,17089.22,17130.83,17031.21,17052.54,56600,17052.54
2010-03-10,17072.94,17183.51,17027.92,17098.33,16800,17098.33
2010-03-11,17087.63,17215.07,17054.28,17167.96,11400,17167.96
2010-03-12,17176.02,17244.54,17126.93,17166.62,24000,17166.62
2010-03-15,17166.97,17195.49,17061.14,17164.99,14200,17164.99
2010-03-16,17169.84,17416.55,17150.06,17383.18,12400,17383.18
2010-03-17,17389.47,17576.78,17389.47,17490.08,16800,17490.08
2010-03-18,17492.81,17548.13,17417.61,17519.26,13600,17519.26
2010-03-19,17531.47,17600.87,17502.14,17578.23,13800,17578.23
2010-03-22,17481.96,17559.18,17337.38,17410.57,12200,17410.57
2010-03-23,17422.51,17530.79,17356.64,17451.02,12600,17451.02
2010-03-25,17458.51,17575.23,17383.21,17558.85,13800,17558.85
2010-03-26,17558.85,17682.94,17558.85,17644.76,13000,17644.76
2010-03-29,17639.18,17793.01,17639.18,17711.35,14800,17711.35
2010-03-30,17703.67,17783.35,17558.22,17590.17,12600,17590.17
2010-03-31,17602.39,17699.5,17488.55,17527.77,13600,17527.77
2010-04-01,17555.04,17706.56,17555.04,17692.62,13000,17692.62
2010-04-05,17693.66,17948.54,17693.66,17935.68,12800,17935.68
2010-04-06,17940.32,17991.41,17898,17941.37,12400,17941.37
2010-04-07,17915.6,18047.86,17878.31,17970.02,13200,17970.02
2010-04-08,17950.56,17960.91,17679.34,17714.4,11800,17714.4
2010-04-09,17715.16,17971.47,17715.16,17933.14,12200,17933.14
2010-04-12,17874.16,17995.25,17816.19,17853,9800,17853
2010-04-13,17831.38,17892.78,17736.09,17821.96,12800,17821.96
2010-04-15,17804.55,17975.57,17619.02,17639.26,12600,17639.26
2010-04-16,17645.91,17663.99,17529.55,17591.18,11600,17591.18
2010-04-19,17584.86,17584.86,17276.8,17400.68,11800,17400.68
2010-04-20,17394.68,17560.09,17394.68,17460.58,14000,17460.58
2010-04-21,17458.76,17565.55,17446.51,17472.56,10000,17472.56
2010-04-22,17476.48,17778.34,17408.02,17573.99,17600,17573.99
2010-04-23,17533.88,17725.88,17533.88,17694.2,17200,17694.2
2010-04-26,17692.26,17826.48,17692.26,17745.28,14800,17745.28
2010-04-27,17744.93,17769.25,17678.56,17690.62,12200,17690.62
2010-04-28,17643.59,17643.59,17344.58,17380.08,17000,17380.08
2010-04-29,17382.09,17532.86,17382.09,17503.47,10800,17503.47
2010-04-30,17503.47,17646.61,17503.47,17558.71,12200,17558.71
2010-05-03,17536.86,17536.86,17345.92,17386.08,10400,17386.08
2010-05-04,17371.75,17464.82,17101.96,17137.14,19800,17137.14
2010-05-05,17103.95,17121.66,16858.23,17087.96,20000,17087.96
2010-05-06,17080.47,17080.47,16823,16987.53,16400,16987.53
2010-05-07,16939.58,16939.58,16684.13,16769.11,19400,16769.11
2010-05-10,16799.49,17356.54,16799.49,17330.55,19800,17330.55
2010-05-11,17336.13,17379.15,17104.45,17141.53,20400,17141.53
2010-05-12,17141.53,17252.52,17028.08,17195.81,18400,17195.81
2010-05-13,17323.63,17389.15,17240.35,17265.87,18000,17265.87
2010-05-14,17267.25,17329.32,16923.65,16994.6,15200,16994.6
2010-05-17,16961.92,16961.92,16551,16835.56,20400,16835.56
2010-05-18,16840.59,17000.34,16744.13,16875.76,16800,16875.76
2010-05-19,16802.39,16802.39,16373.32,16408.49,22200,16408.49
2010-05-20,16419.1,16617.8,16419.1,16519.68,21600,16519.68
2010-05-21,16317.94,16486.74,16187.03,16445.61,24200,16445.61
2010-05-24,16494.61,16757.73,16413.03,16469.55,22200,16469.55
2010-05-25,16444.57,16444.57,15960.15,16022.48,21600,16022.48
2010-05-26,16069.78,16410.35,16069.78,16387.84,18400,16387.84
2010-05-27,16410.88,16694.55,16331.1,16666.4,18800,16666.4
2010-05-28,16692.66,16891.17,16692.66,16863.06,19000,16863.06
2010-05-31,16872.17,16971.15,16806.5,16944.63,15600,16944.63
2010-06-01,16942.82,16942.82,16318.39,16572.03,20600,16572.03
2010-06-02,16574.79,16774.15,16571.45,16741.84,29000,16741.84
2010-06-03,16786.28,17072.63,16786.28,17022.33,21800,17022.33
2010-06-04,17036.55,17150.42,16963.92,17117.69,22400,17117.69
2010-06-07,17069.77,17069.77,16686.73,16781.07,26000,16781.07
2010-06-08,16760.6,16895.73,16560.64,16617.1,27400,16617.1
2010-06-09,16621.12,16817.69,16591.26,16657.89,36600,16657.89
2010-06-10,16668.91,16942.6,16668.91,16922.08,24800,16922.08
2010-06-11,16994.07,17131.56,16994.07,17064.95,24600,17064.95
2010-06-14,17118.74,17351.18,17118.74,17338.17,17400,17338.17
2010-06-15,17355.49,17442.5,17249.46,17412.83,22400,17412.83
2010-06-16,17500.3,17530.38,17407.3,17462.87,27400,17462.87
2010-06-17,17490.52,17647.42,17394.9,17616.69,25400,17616.69
2010-06-18,17628.02,17721.99,17525.29,17570.82,24000,17570.82
2010-06-21,17654.81,17919.62,17654.81,17876.55,26200,17876.55
2010-06-22,17868.12,17868.12,17725.63,17749.69,15200,17749.69
2010-06-23,17694.87,17782.41,17629.19,17755.94,17600,17755.94
